recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	69905	GCF_003697165.2_WP_001161829.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	256471	GCF_003697165.2_WP_000645959.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	823827	GCF_022869645.1_WP_002246814.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	1349389	GCF_022869645.1_WP_002221497.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	1595253	GCF_000007645.1_WP_002470184.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	1731381	GCF_000007645.1_WP_001829767.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	2733963	GCF_000347875.1_D820_RS10845
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	3055367	GCF_000347875.1_WP_255262721.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	3597500	GCF_000015985.1_WP_011841546.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	3676288	GCF_000010505.1_WP_012457298.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033091.2	None	None
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	7358	GCF_003697165.2_WP_000534351.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	307861	GCF_003697165.2_WP_000637953.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	576283	GCF_022869645.1_WP_002246944.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1053482	GCF_022869645.1_WP_002246814.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1175270	GCF_000007645.1_WP_001829499.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1480989	GCF_000347875.1_WP_002275849.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1565823	GCF_000347875.1_WP_002267248.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1867358	GCF_000010505.1_WP_012457644.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1980460	GCF_000010505.1_WP_039416938.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	2168619	GCF_000010505.1_WP_012457331.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	223736	GCF_003697165.2_WP_000645959.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	519012	GCF_022869645.1_WP_002249454.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1086558	GCF_000007645.1_WP_002470184.1
GCF_000007645.1_ASM764v1_genomic	NC_004461.1	1237132	GCF_000007645.1_WP_001831211.1
