recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	10762	GCF_022869645.1_IUJ45_RS00635
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	238652	GCF_022869645.1_WP_002219840.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	655277	GCF_022869645.1_WP_002246944.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	1696074	GCF_022869645.1_WP_002212574.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	2028324	GCF_000007645.1_WP_001836564.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	2933597	GCF_000007645.1_WP_002485207.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	3448569	GCF_000007645.1_WP_001829830.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	3472975	GCF_000347875.1_D820_RS10845
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	3522486	GCF_000010505.1_PGN_RS11095
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033092.2	4129296	GCF_000010505.1_WP_012458431.1
GCF_003697165.2_ASM369716v2_genomic	NZ_CP033091.2	None	None
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	504141	GCF_003697165.2_WP_000534351.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	734034	GCF_022869645.1_IUJ45_RS00635
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	975433	GCF_022869645.1_WP_002225310.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	996031	GCF_000007645.1_WP_001831211.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1242211	GCF_000007645.1_WP_002485207.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1481735	GCF_000347875.1_WP_002263985.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1483059	GCF_000347875.1_WP_002311892.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1507408	GCF_000015985.1_WP_011840669.1
GCF_022869645.1_ASM2286964v1_genomic	NZ_CP064367.1	1924814	GCF_000010505.1_WP_012458733.1
